n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*16*_*_*_;Saint-Genis-Laval Avenue Ernest Auboyer;18 Avenue Ernest Auboyer, Saint-Genis-Laval;69204;4.803939;45.692093;4;FR*GLY*E*LYON*16*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*16*_*_*_;Saint-Genis-Laval Avenue Ernest Auboyer;18 Avenue Ernest Auboyer, Saint-Genis-Laval;69204;4.803939;45.692093;4;FR*GLY*E*LYON*16*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*9*_*_*_;Tassin-la-Demi-Lune Atrium - Avenue des Cosmos;Avenue des Cosmos, Tassin-la-Demi-Lune;69244;4.770547;45.760144;4;FR*GLY*E*LYON*9*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*9*_*_*_;Tassin-la-Demi-Lune Atrium - Avenue des Cosmos;Avenue des Cosmos, Tassin-la-Demi-Lune;69244;4.770547;45.760144;4;FR*GLY*E*LYON*9*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*22*_*_*_;Vénissieux Avenue Viviani;4 Avenue Viviani, Vénissieux;69259;4.863299;45.726635;4;FR*GLY*E*LYON*22*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*22*_*_*_;Vénissieux Avenue Viviani;4 Avenue Viviani, Vénissieux;69259;4.863299;45.726635;4;FR*GLY*E*LYON*22*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*12*_*_*_;Vénissieux Marcel Houël - Hôtel de Ville;3 Avenue Marcel Houël, Vénissieux;69259;4.884666;45.696632;4;FR*GLY*E*LYON*12*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*12*_*_*_;Vénissieux Marcel Houël - Hôtel de Ville;3 Avenue Marcel Houël, Vénissieux;69259;4.884666;45.696632;4;FR*GLY*E*LYON*12*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*19*_*_*_;Vénissieux Jacques Duclos - Stade Laurent Guérin;24 Avenue Jacques Duclos, Vénissieux;69259;4.891770;45.697485;4;FR*GLY*E*LYON*19*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*19*_*_*_;Vénissieux Jacques Duclos - Stade Laurent Guérin;24 Avenue Jacques Duclos, Vénissieux;69259;4.891770;45.697485;4;FR*GLY*E*LYON*19*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*24*_*_*_;Lyon Joliot Curie - Les Battières;96 Rue Joliot Curie, Lyon;69123;4.782994;45.754439;4;FR*GLY*E*LYON*24*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*24*_*_*_;Lyon Joliot Curie - Les Battières;96 Rue Joliot Curie, Lyon;69123;4.782994;45.754439;4;FR*GLY*E*LYON*24*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*25*_*_*_;Lyon Avenue Paul Santy;91 Avenue Paul Santy, Lyon;69123;4.876832;45.728930;4;FR*GLY*E*LYON*25*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*25*_*_*_;Lyon Avenue Paul Santy;91 Avenue Paul Santy, Lyon;69123;4.876832;45.728930;4;FR*GLY*E*LYON*25*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*26*_*_*_;Saint-Genis-les-Ollières Avenue Marcel Mérieux;42 Avenue Marcel Mérieux, Saint-Genis-les-Ollières;69205;4.722615;45.758426;4;FR*GLY*E*LYON*26*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*26*_*_*_;Saint-Genis-les-Ollières Avenue Marcel Mérieux;42 Avenue Marcel Mérieux, Saint-Genis-les-Ollières;69205;4.722615;45.758426;4;FR*GLY*E*LYON*26*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
